pixel_ID,lat,lon,utm_n,utm_e,population,active
322,-23.9003164,-46.84962496,7355578.114,311706.0268,0,N
323,-23.9004342,-46.83980583,7355578.114,312706.0268,0,N
324,-23.90055138,-46.82998664,7355578.114,313706.0268,0,N
325,-23.90066793,-46.82016739,7355578.114,314706.0268,0,N
326,-23.90078385,-46.81034808,7355578.114,315706.0268,0,N
327,-23.90089915,-46.8005287,7355578.114,316706.0268,0,N
328,-23.90101382,-46.79070927,7355578.114,317706.0268,0,N
329,-23.90112786,-46.78088977,7355578.114,318706.0268,0,N
330,-23.90124128,-46.77107021,7355578.114,319706.0268,0,N
331,-23.90135407,-46.76125059,7355578.114,320706.0268,0,N
332,-23.90146623,-46.75143091,7355578.114,321706.0268,0,N
333,-23.90157777,-46.74161117,7355578.114,322706.0268,0,N
334,-23.90168868,-46.73179137,7355578.114,323706.0268,0,N
335,-23.90179897,-46.72197151,7355578.114,324706.0268,0,N
336,-23.90190863,-46.71215159,7355578.114,325706.0268,0,N
337,-23.90201766,-46.70233161,7355578.114,326706.0268,0,N
338,-23.90212607,-46.69251158,7355578.114,327706.0268,0,N
339,-23.90223385,-46.68269148,7355578.114,328706.0268,0,N
340,-23.902341,-46.67287133,7355578.114,329706.0268,0,N
341,-23.90244752,-46.66305113,7355578.114,330706.0268,0,N
342,-23.90255342,-46.65323086,7355578.114,331706.0268,0,N
343,-23.9026587,-46.64341054,7355578.114,332706.0268,0,N
344,-23.90276334,-46.63359016,7355578.114,333706.0268,0,N
345,-23.90286736,-46.62376973,7355578.114,334706.0268,0,N
346,-23.90297076,-46.61394924,7355578.114,335706.0268,0,N
347,-23.90307352,-46.60412869,7355578.114,336706.0268,0,N
348,-23.90317566,-46.59430809,7355578.114,337706.0268,0,N
349,-23.90327718,-46.58448744,7355578.114,338706.0268,0,N
350,-23.90337806,-46.57466673,7355578.114,339706.0268,0,N
351,-23.90347832,-46.56484597,7355578.114,340706.0268,0,N
352,-23.90357796,-46.55502515,7355578.114,341706.0268,0,N
353,-23.90367696,-46.54520428,7355578.114,342706.0268,0,N
354,-23.90377534,-46.53538336,7355578.114,343706.0268,0,N
355,-23.90387309,-46.52556239,7355578.114,344706.0268,0,N
356,-23.90397022,-46.51574136,7355578.114,345706.0268,0,N
357,-23.90406672,-46.50592028,7355578.114,346706.0268,0,N
358,-23.90416259,-46.49609915,7355578.114,347706.0268,0,N
359,-23.90425784,-46.48627797,7355578.114,348706.0268,0,N
360,-23.90435246,-46.47645674,7355578.114,349706.0268,0,N
361,-23.90444645,-46.46663545,7355578.114,350706.0268,0,N
362,-23.90453981,-46.45681412,7355578.114,351706.0268,0,N
363,-23.90463255,-46.44699274,7355578.114,352706.0268,0,N
364,-23.90472466,-46.4371713,7355578.114,353706.0268,0,N
365,-23.90481615,-46.42734982,7355578.114,354706.0268,0,N
366,-23.90490701,-46.41752829,7355578.114,355706.0268,0,N
367,-23.90499724,-46.40770671,7355578.114,356706.0268,0,N
368,-23.90508684,-46.39788508,7355578.114,357706.0268,0,N
369,-23.90517582,-46.38806341,7355578.114,358706.0268,0,N
370,-23.90526417,-46.37824168,7355578.114,359706.0268,0,N
371,-23.90535189,-46.36841991,7355578.114,360706.0268,0,N
372,-23.90543899,-46.3585981,7355578.114,361706.0268,0,N
373,-23.90552546,-46.34877623,7355578.114,362706.0268,0,N
374,-23.9056113,-46.33895432,7355578.114,363706.0268,0,N
375,-23.90569651,-46.32913237,7355578.114,364706.0268,0,N
376,-23.9057811,-46.31931037,7355578.114,365706.0268,0,N
377,-23.90586506,-46.30948832,7355578.114,366706.0268,0,N
378,-23.9059484,-46.29966623,7355578.114,367706.0268,0,N
379,-23.9060311,-46.28984409,7355578.114,368706.0268,0,N
380,-23.90611318,-46.28002191,7355578.114,369706.0268,0,N
381,-23.90619464,-46.27019969,7355578.114,370706.0268,0,N
382,-23.90627546,-46.26037742,7355578.114,371706.0268,0,N
383,-23.90635566,-46.25055511,7355578.114,372706.0268,0,N
384,-23.90643523,-46.24073276,7355578.114,373706.0268,0,N
385,-23.90651418,-46.23091036,7355578.114,374706.0268,0,N
386,-23.90659249,-46.22108792,7355578.114,375706.0268,0,N
387,-23.90667018,-46.21126544,7355578.114,376706.0268,0,N
388,-23.90674725,-46.20144292,7355578.114,377706.0268,0,N
389,-23.90682368,-46.19162036,7355578.114,378706.0268,0,N
390,-23.90689949,-46.18179775,7355578.114,379706.0268,0,N
391,-23.90697467,-46.17197511,7355578.114,380706.0268,0,N
392,-23.90704923,-46.16215243,7355578.114,381706.0268,0,N
393,-23.90712315,-46.1523297,7355578.114,382706.0268,0,N
394,-23.90719645,-46.14250694,7355578.114,383706.0268,0,N
395,-23.90726913,-46.13268414,7355578.114,384706.0268,0,N
396,-23.90734117,-46.1228613,7355578.114,385706.0268,0,N
