pixel_ID,lat,lon,utm_n,utm_e,population
9890,37.2141815069,-121.682756771,4119445.28179,616876.333318,0
9891,37.2140556462,-121.671489117,4119445.28179,617876.333318,0
9892,37.213928714,-121.660221534,4119445.28179,618876.333318,0
9893,37.2138007104,-121.648954022,4119445.28179,619876.333318,0
9894,37.2136716354,-121.637686581,4119445.28179,620876.333318,0
9895,37.2135414889,-121.626419212,4119445.28179,621876.333318,0
9896,37.2134102711,-121.615151915,4119445.28179,622876.333318,0
9897,37.2132779819,-121.603884692,4119445.28179,623876.333318,0
9898,37.2131446214,-121.592617542,4119445.28179,624876.333318,0
9899,37.2130101896,-121.581350467,4119445.28179,625876.333318,0
9900,37.2128746865,-121.570083467,4119445.28179,626876.333318,0
9901,37.2127381121,-121.558816543,4119445.28179,627876.333318,0
9902,37.2126004664,-121.547549694,4119445.28179,628876.333318,0
9903,37.2124617495,-121.536282923,4119445.28179,629876.333318,0
9904,37.2123219615,-121.525016228,4119445.28179,630876.333318,0
9905,37.2121811022,-121.513749612,4119445.28179,631876.333318,0
9906,37.2120391718,-121.502483074,4119445.28179,632876.333318,0
9907,37.2118961703,-121.491216615,4119445.28179,633876.333318,0
9908,37.2117520976,-121.479950237,4119445.28179,634876.333318,0
9909,37.2116069539,-121.468683938,4119445.28179,635876.333318,0
9910,37.2114607391,-121.45741772,4119445.28179,636876.333318,0
9911,37.2113134532,-121.446151584,4119445.28179,637876.333318,0
9912,37.2111650964,-121.43488553,4119445.28179,638876.333318,0
9913,37.2110156686,-121.423619559,4119445.28179,639876.333318,0
9914,37.2108651697,-121.412353671,4119445.28179,640876.333318,0
9915,37.2107136,-121.401087867,4119445.28179,641876.333318,0
9916,37.2105609593,-121.389822147,4119445.28179,642876.333318,0
9917,37.2104072478,-121.378556512,4119445.28179,643876.333318,0
9918,37.2102524654,-121.367290963,4119445.28179,644876.333318,0
9919,37.2100966121,-121.356025501,4119445.28179,645876.333318,0
9920,37.209939688,-121.344760125,4119445.28179,646876.333318,0
9921,37.2097816932,-121.333494837,4119445.28179,647876.333318,0
9922,37.2096226275,-121.322229637,4119445.28179,648876.333318,0
9923,37.2094624912,-121.310964525,4119445.28179,649876.333318,0
9924,37.2093012841,-121.299699503,4119445.28179,650876.333318,0
9925,37.2091390064,-121.28843457,4119445.28179,651876.333318,0
9926,37.2089756579,-121.277169728,4119445.28179,652876.333318,0
9927,37.2088112389,-121.265904977,4119445.28179,653876.333318,0
9928,37.2086457493,-121.254640317,4119445.28179,654876.333318,0
9929,37.208479189,-121.24337575,4119445.28179,655876.333318,0
9930,37.2083115583,-121.232111276,4119445.28179,656876.333318,0
9931,37.208142857,-121.220846894,4119445.28179,657876.333318,0
9932,37.2079730852,-121.209582607,4119445.28179,658876.333318,0
9933,37.207802243,-121.198318415,4119445.28179,659876.333318,0
9934,37.2076303303,-121.187054318,4119445.28179,660876.333318,0
9935,37.2074573472,-121.175790316,4119445.28179,661876.333318,0
9936,37.2303295528,-122.787205869,4120445.28179,518876.333318,0
9937,37.2303087615,-122.775932881,4120445.28179,519876.333318,0
9938,37.2302868972,-122.764659904,4120445.28179,520876.333318,0
