pixel_ID,lat,lon,population,cf,dir_ratio,cf_category
17744,37.71584771,-122.422748,4231,2.395612778,1.18230263,3
17745,37.71579161,-122.4114023,5672,2.005504341,1.15514211,2
17746,37.71573442,-122.4000567,5630,7.58661974,1.73609196,4
17747,37.71567614,-122.3887112,2334,2.312245832,1.037325701,2
17882,37.72517433,-122.4907607,1044,3.492385373,1.651628444,4
17883,37.72512477,-122.4794135,12238,3.37852891,1.777386114,4
17884,37.72507412,-122.4680664,4936,1.763936823,1.13397073,1
17885,37.72502237,-122.4567192,6907,1.704237602,1.139093546,1
17886,37.72496953,-122.4453721,7417,2.921756867,1.930905745,3
17887,37.7249156,-122.4340251,8596,1.455937193,1.085580884,1
17888,37.72486058,-122.422678,5656,1.889568453,1.013709449,1
17889,37.72480446,-122.411331,3598,1.516586834,1.103787685,1
17890,37.72474725,-122.399984,7154,2.36527716,1.279282973,3
17891,37.72468896,-122.3886371,4915,1.383709771,1.018719055,1
17892,37.72462956,-122.3772902,2001,4.08125304,1.087617412,4
18025,37.73423578,-122.5020476,2012,3.021229152,1.711485835,4
18026,37.73418729,-122.490699,3049,1.728219098,1.331489909,1
18027,37.73413771,-122.4793504,4510,2.584551381,1.747495552,3
18028,37.73408704,-122.4680019,4558,1.821227194,1.300362315,1
18029,37.73403528,-122.4566534,4813,1.916133027,1.068640851,2
18030,37.73398242,-122.4453049,5180,2.398826785,1.456374094,3
18031,37.73392847,-122.4339565,5825,3.817739939,1.471774193,4
18032,37.73387343,-122.422608,6943,2.197244877,1.228621995,2
18033,37.7338173,-122.4112597,6420,3.338978385,1.338421557,4
18034,37.73376007,-122.3999113,6473,2.407590529,1.103404813,3
18035,37.73370176,-122.388563,5967,1.611729276,1.160770272,1
18036,37.73364235,-122.3772147,3691,2.221350919,1.194191778,2
18169,37.74324874,-122.5019872,4515,1.364523397,1.021914717,1
18170,37.74320024,-122.4906372,5332,1.346707391,1.040576187,1
18171,37.74315064,-122.4792873,5482,1.545394118,1.118609728,1
18172,37.74309995,-122.4679374,5246,1.760878014,1.117623861,1
18173,37.74304817,-122.4565875,4130,1.960159611,1.351104345,2
18174,37.7429953,-122.4452377,3535,3.47736436,1.784240686,4
18175,37.74294133,-122.4338878,4881,1.998761858,1.239816861,2
18176,37.74288628,-122.422538,8231,1.696881093,1.235524132,1
18177,37.74283012,-122.4111883,7866,1.984784413,1.142304431,2
18178,37.74277288,-122.3998385,4225,1.959111205,1.245275969,2
18179,37.74271454,-122.3884888,4885,1.787569232,1.200600608,1
18180,37.74265511,-122.3771392,1919,1.627723203,1.322635195,1
18313,37.75226168,-122.5019268,5538,1.496336936,1.016114575,1
18314,37.75221317,-122.4905755,5814,1.372924659,1.038889856,1
18315,37.75216355,-122.4792241,6815,1.366512957,1.085427506,1
18316,37.75211285,-122.4678729,4573,2.083584648,1.259344931,2
18317,37.75206105,-122.4565216,3353,2.911474756,1.191442047,3
18318,37.75200816,-122.4451704,3882,3.516462485,1.092065979,4
18319,37.75195418,-122.4338192,6506,1.441433105,1.025957023,1
18320,37.7518991,-122.422468,10392,1.520212566,1.297605232,1
18321,37.75184294,-122.4111169,11449,1.462855614,1.182196235,1
18322,37.75178567,-122.3997658,5332,2.023506615,1.15401694,2
18323,37.75172732,-122.3884147,3644,1.732152769,1.200404707,1
18457,37.76127461,-122.5018664,5247,1.447452003,1.032868092,1
18458,37.76122608,-122.4905137,5237,1.462509588,1.116823418,1
18459,37.76117646,-122.479161,7034,1.428481671,1.179931248,1
18460,37.76112574,-122.4678083,7455,1.539694348,1.11763063,1
18461,37.76107392,-122.4564557,8611,2.772301476,1.110985682,3
