pixel_ID,lat,lon,orders_total,cf,dir_ratio,cf_category
2706,-23.68169893,-47.00339722,101,2.324777585,1.003633314,2
2720,-23.68341385,-46.86616553,252,3.253540136,1,4
2721,-23.68353169,-46.85636278,476,3.758630451,1.363162373,4
2722,-23.68364892,-46.84655996,116,3.175049081,1.00628756,4
2724,-23.68388151,-46.82695415,246,1.619592925,1.001433969,1
2725,-23.68399687,-46.81715114,148,4.246243789,1.008995577,4
2726,-23.68411162,-46.80734808,309,2.165904328,1.003344539,2
2727,-23.68422575,-46.79754496,1945,2.147015243,1.084904114,2
2728,-23.68433925,-46.78774177,2267,2.023524623,1.018827695,1
2729,-23.68445214,-46.77793852,2768,2.240894707,1.024324126,2
2730,-23.6845644,-46.76813522,3404,1.889635838,1.234297942,1
2731,-23.68467605,-46.75833185,2248,2.200348848,1.029070768,2
2732,-23.68478707,-46.74852842,3952,2.327560534,1.029956072,2
2733,-23.68489748,-46.73872493,1828,2.98474642,1.177358014,3
2735,-23.68511643,-46.71911778,533,1.899098097,1.781981831,1
2736,-23.68522498,-46.70931412,2552,1.754262809,1.175411765,1
2737,-23.6853329,-46.6995104,1902,2.85041522,1.648172711,3
2738,-23.68544021,-46.68970662,1582,4.634779554,2.219875788,4
2739,-23.68554689,-46.67990278,127,1.875048074,1.321525272,1
2740,-23.68565295,-46.67009889,483,1.832094581,1.022185066,1
2743,-23.68596743,-46.64068686,776,2.483567282,1.187692793,3
2744,-23.68607101,-46.63088274,4063,2.522667601,1.432131281,3
2745,-23.68617397,-46.62107857,5169,2.371622096,1.552490205,2
2746,-23.68627632,-46.61127434,2397,3.532885574,1.869921658,4
2747,-23.68637804,-46.60147005,1544,3.369367774,1.67532064,4
2748,-23.68647914,-46.59166571,2311,2.472557169,1.595019092,3
2749,-23.68657962,-46.58186132,2690,2.911239583,1.4683328,3
2750,-23.68667949,-46.57205687,3309,2.294055233,1.496046887,2
2751,-23.68677873,-46.56225237,4259,4.407393666,1.556164403,4
2752,-23.68687735,-46.55244781,3808,4.548310868,2.493368315,4
2753,-23.68697535,-46.5426432,3813,2.105360084,1.31680644,2
2754,-23.68707273,-46.53283854,2518,2.42475838,1.120338221,2
2755,-23.68716949,-46.52303383,3993,1.665784494,1.084234213,1
2756,-23.68726563,-46.51322907,3381,1.69060797,1.106146125,1
2757,-23.68736115,-46.50342425,2061,2.165393163,1.405813146,2
2758,-23.68745605,-46.49361938,909,2.483567282,1.187692793,3
2761,-23.68773702,-46.46420448,1181,2.237031298,1.464128484,2
2762,-23.68782944,-46.45439941,2005,3.742144186,1.254518237,4
2763,-23.68792124,-46.44459429,2762,1.988039607,1.090634373,1
2764,-23.68801241,-46.43478913,964,4.250785824,1.125699688,4
2766,-23.6881929,-46.41517865,188,2.36129468,1.018385637,2
2768,-23.68837091,-46.39556797,347,2.403972805,1.107055681,2
2769,-23.68845898,-46.38576256,580,3.217541238,1.204030615,4
